rating,title,author,date,content,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended
2,"""barely a step above low cost airlines""",D Hane,2024-09-25,✅ Trip Verified |   BA is barely a step above low cost airlines. They try to dime and nickel everywhere possible. I now found out that you cannot select a seat a check in anymore when you have no baggage. Next time I go with low cost carrier since there is virtually no difference anymore.,A320,3,4,1,1,3,1,1,no
10,"""Happy with the flight crew""",John Brown,2024-09-24,"Not Verified |  Happy with the flight crew. Hadn't been on a plane in 20 years and was stressed out. They made it comfortable for me and I want to say thank you to the flight crew for helping me relax. If I go back to France again, I'm going British Airways.",Solo Leisure,5,5,5,Not Rated,5,Not Rated,5,Yes
1,"""seats are super uncomfortable""",C Haddei,2024-09-22,"✅ Trip Verified |   Horrible service from boarding to landing. I flew from London to Marrakech and was very disappointed with the arrangement for boarding, my food is horrible, the staff are arrogant to me and the seats are super uncomfortable for a 3h40min flight business class. Today taking the flight from Marrakech to London. I do not recommend.",A321,1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no
1,"""very disappointed""",Thomas Wilson,2024-09-13,"Not Verified |  My wife and I are very disappointed with flying on British Airways. Our flight on 9/12 was cancelled while all other airlines were flying. In addition, our seats changed multiple times without any explanation. The people working were very rude and not at all customer oriented.",Family Leisure,2,2,2,2,1,2,1,no
8,"""happily recommend and use BA""",Stephen Cooper,2024-09-13,"Not Verified |  We flew BA between Heathrow and Berlin one way connection. Our experience with BA ground staff at Heathrow was very good, friendly and helpful at check in and baggage drop off. The crew on our flight were also very good, Captain provided some general information and welcoming in a suitable casual but efficient way. Flight stewards were also very friendly and handed out some water and small snack (chocolate bar) unexpected on a 1 hr 20 min flight. Seating was typical for class of aircraft and ticket. Cleanliness was not optimal and could be improved. From memory a slightly delayed departure from Heathrow, which was slightly reduced on arrival at Berlin. This was not an issue for us as Berlin was our destination with no connecting concerns. Our baggage arrived safely at Berlin. I understand BA has had some very negative reviews by customers but our experience on this occasion was very positive and would happily recommend and use BA.",A321,3,4,3,Not Rated,4,Not Rated,3,Yes
1,"""cannot get compensation for our flight""",S Grimsditch,2024-09-13,Not Verified |  Absolutely disgusted with BA. Our flights were cancelled on 1 May by BA even though the flight still departed. We had a connecting flight from Manchester to Heathrow which was cancelled due to weather so could not get compensation for that flight. But now it turns out we cannot get compensation for our flight to Seattle either even though BA actually cancelled it for us. I will never fly with them again.,Couple Leisure,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no
8,“Crew very friendly and attentive”,Mark Simons,2024-09-11,Not Verified | Took a trip to Nashville with my wife for a leisure break. Arrived at T5 and directed to the Club World check in zone to the left of the terminal. Zone seemed way too small for the number of passengers and the check in process was painfully slow. Queues for non premium cabins seemed to be much more effectively managed. Had a bite to eat at the departures lounge. Plenty of food options even though it was very busy. Flight departed from the furthest away satellite gate in C annex. Boarding was managed efficiently. I was in seat 4A in the Club Suites section. Lots of space and comfortable. Crew were + 40 on average and very friendly and attentive. I chose a salmon dish and was glad I was in 3A as they had run out by row 4! Entertainment was a little disappointing in terms of latest release movies. Meal prior to landing was not to my taste so I skipped it. Flight landed right on schedule so no complaints on that basis.,Boeing 777-2OOLR,4,4,4,2,2,Not Rated,3,Yes
1,"""A nightmare journey""",B Owen,2024-09-08,"Not Verified |  A nightmare journey courtesy of British Airways. Our worst flight experience in over 50 years of flying!  We were booked on BA470 scheduled to depart Heathrow at 12.05 on 5 Sept - we boarded 1.5 hrs late because despite the plane being at the gate we had to wait for a crew to arrive. Approximately 1hr into the flight the pilot advised that as the weather radar wasn't working, we would be returning to Heathrow where we circled for approx 45 mins before landing. There was no member of staff present to offer advice about an alternative flights and the customer service desk stated they would not deal with it but we had to await an email. An email finally arrived after about an hour and my husband and I were fortunate enough to be allocated seats on the 21.15 flight. This time we boarded approx 2 hrs late again the plane was at the gate but we had to wait for a crew. As a result it was around 3.00 am before we reached Venice and the long wait for taxis meant that we didn't reach out hotel beyond Mestre until 4.00 am. We've since learnt that BA have cancelled hundreds of flights over the past several days claiming 'bad weather' yet according to FlightRadar 24 no other airline flying out of Heathrow cancelled flights",A319 / A321NEO,2,3,Not Rated,Not Rated,1,Not Rated,1,no
1,“One gets better service in McDonalds”,T Dawes,2024-09-06,"✅ Trip Verified | Absolutely atrocious. LHR-ORD-LHR Round-trip. British Airways is truly a disgrace as our ""national airline"". With only eight seats in First Class, you would think they could provide a genuine ""white glove"" experience. Instead, the crew in First Class both ways were inattentive, ill-mannered, and badly trained. One gets better service in McDonalds. BA's new First Suite is a small, uncomfortable cubicle, and miles behind premium classes at other airlines. Movie selection was very poor, and the wifi did not work properly. The amenity kit was tiny, and cheap. The airplane itself was dirty, and had clearly been cleaned in haste. The food served in First Class was grim, and especially bad on the ORD-LHR sector. The crew both sectors spent most of their time in the galley, and disappeared after the meal service. Overall, British Airways continues to decline, and one wouldn't fly them if there was an alternative. To add insult to injury, BA flies into Chicago International Terminal, and has decided that the ORD-LHR return flies out of American Airlines Terminal 3, including use of the AA dreadful Flagship Lounge at T3. Of course, nothing will change, because governments have given BA a virtual monopoly, and BA continue to have mediocre leadership that only care about costs, and their own share portfolio.",Boeing 777-300ER,1,1,1,1,1,1,1,no
4,"“shocking food, service, exorbitant prices”",Amanda Edgar,2024-09-02,"✅ Trip Verified | As someone who flies relentlessly with British Airways for business and pleasure, generally for the routing and who is a Gold frequent flier we’ve come to accept the shocking food, service, exorbitant prices and outdated planes. When you get on a plane the primary role of the crew is your safety however when said crew look like they have just fallen out of bed cannot dress themselves properly or in the case of men find a razor you do question there ability to react in an emergency situation. Enough said.",Couple Leisure,2,1,1,1,2,3,2,no
