rating,title,author,date,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,content_clean,trip_verified,sentiment
2,"""barely a step above low cost airlines""",D Hane,2024-09-25,A320,3,4,1,1,3,1,1,no,ba is barely a step above low cost airlines they try to dime and nickel everywhere possible i now found out that you cannot select a seat a check in anymore when you have no baggage next time i go with low cost carrier since there is virtually no difference anymore,Verified,Positive
10,"""Happy with the flight crew""",John Brown,2024-09-24,Solo Leisure,5,5,5,Not Rated,5,Not Rated,5,Yes,happy with the flight crew hadnt been on a plane in 20 years and was stressed out they made it comfortable for me and i want to say thank you to the flight crew for helping me relax if i go back to france again im going british airways,Not Verified,Positive
1,"""seats are super uncomfortable""",C Haddei,2024-09-22,A321,1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,horrible service from boarding to landing i flew from london to marrakech and was very disappointed with the arrangement for boarding my food is horrible the staff are arrogant to me and the seats are super uncomfortable for a 3h40min flight business class today taking the flight from marrakech to london i do not recommend,Verified,Negative
1,"""very disappointed""",Thomas Wilson,2024-09-13,Family Leisure,2,2,2,2,1,2,1,no,my wife and i are very disappointed with flying on british airways our flight on 912 was cancelled while all other airlines were flying in addition our seats changed multiple times without any explanation the people working were very rude and not at all customer oriented,Not Verified,Negative
8,"""happily recommend and use BA""",Stephen Cooper,2024-09-13,A321,3,4,3,Not Rated,4,Not Rated,3,Yes,we flew ba between heathrow and berlin one way connection our experience with ba ground staff at heathrow was very good friendly and helpful at check in and baggage drop off the crew on our flight were also very good captain provided some general information and welcoming in a suitable casual but efficient way flight stewards were also very friendly and handed out some water and small snack chocolate bar unexpected on a 1 hr 20 min flight seating was typical for class of aircraft and ticket cleanliness was not optimal and could be improved from memory a slightly delayed departure from heathrow which was slightly reduced on arrival at berlin this was not an issue for us as berlin was our destination with no connecting concerns our baggage arrived safely at berlin i understand ba has had some very negative reviews by customers but our experience on this occasion was very positive and would happily recommend and use ba,Not Verified,Positive
1,"""cannot get compensation for our flight""",S Grimsditch,2024-09-13,Couple Leisure,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,absolutely disgusted with ba our flights were cancelled on 1 may by ba even though the flight still departed we had a connecting flight from manchester to heathrow which was cancelled due to weather so could not get compensation for that flight but now it turns out we cannot get compensation for our flight to seattle either even though ba actually cancelled it for us i will never fly with them again,Not Verified,Negative
8,Crew very friendly and attentive,Mark Simons,2024-09-11,Boeing 777-2OOLR,4,4,4,2,2,Not Rated,3,Yes,took a trip to nashville with my wife for a leisure break arrived at t5 and directed to the club world check in zone to the left of the terminal zone seemed way too small for the number of passengers and the check in process was painfully slow queues for non premium cabins seemed to be much more effectively managed had a bite to eat at the departures lounge plenty of food options even though it was very busy flight departed from the furthest away satellite gate in c annex boarding was managed efficiently i was in seat 4a in the club suites section lots of space and comfortable crew were 40 on average and very friendly and attentive i chose a salmon dish and was glad i was in 3a as they had run out by row 4 entertainment was a little disappointing in terms of latest release movies meal prior to landing was not to my taste so i skipped it flight landed right on schedule so no complaints on that basis,Not Verified,Positive
1,"""A nightmare journey""",B Owen,2024-09-08,A319 / A321NEO,2,3,Not Rated,Not Rated,1,Not Rated,1,no,a nightmare journey courtesy of british airways our worst flight experience in over 50 years of flying we were booked on ba470 scheduled to depart heathrow at 1205 on 5 sept we boarded 15 hrs late because despite the plane being at the gate we had to wait for a crew to arrive approximately 1hr into the flight the pilot advised that as the weather radar wasnt working we would be returning to heathrow where we circled for approx 45 mins before landing there was no member of staff present to offer advice about an alternative flights and the customer service desk stated they would not deal with it but we had to await an email an email finally arrived after about an hour and my husband and i were fortunate enough to be allocated seats on the 2115 flight this time we boarded approx 2 hrs late again the plane was at the gate but we had to wait for a crew as a result it was around 300 am before we reached venice and the long wait for taxis meant that we didnt reach out hotel beyond mestre until 400 am weve since learnt that ba have cancelled hundreds of flights over the past several days claiming bad weather yet according to flightradar 24 no other airline flying out of heathrow cancelled flights,Not Verified,Negative
1,One gets better service in McDonalds,T Dawes,2024-09-06,Boeing 777-300ER,1,1,1,1,1,1,1,no,absolutely atrocious lhrordlhr roundtrip british airways is truly a disgrace as our national airline with only eight seats in first class you would think they could provide a genuine white glove experience instead the crew in first class both ways were inattentive illmannered and badly trained one gets better service in mcdonalds bas new first suite is a small uncomfortable cubicle and miles behind premium classes at other airlines movie selection was very poor and the wifi did not work properly the amenity kit was tiny and cheap the airplane itself was dirty and had clearly been cleaned in haste the food served in first class was grim and especially bad on the ordlhr sector the crew both sectors spent most of their time in the galley and disappeared after the meal service overall british airways continues to decline and one wouldnt fly them if there was an alternative to add insult to injury ba flies into chicago international terminal and has decided that the ordlhr return flies out of american airlines terminal 3 including use of the aa dreadful flagship lounge at t3 of course nothing will change because governments have given ba a virtual monopoly and ba continue to have mediocre leadership that only care about costs and their own share portfolio,Verified,Negative
4,"shocking food, service, exorbitant prices",Amanda Edgar,2024-09-02,Couple Leisure,2,1,1,1,2,3,2,no,as someone who flies relentlessly with british airways for business and pleasure generally for the routing and who is a gold frequent flier weve come to accept the shocking food service exorbitant prices and outdated planes when you get on a plane the primary role of the crew is your safety however when said crew look like they have just fallen out of bed cannot dress themselves properly or in the case of men find a razor you do question there ability to react in an emergency situation enough said,Verified,Negative
